TRINITY_DN137_c0_g1_i1 sp|Q03567|SL172_CAEEL
TRINITY_DN86003_c0_g1_i1 sp|P06815|CAN1_RABIT
TRINITY_DN86003_c0_g5_i1 sp|P35750|CAN1_PIG
TRINITY_DN86048_c0_g1_i4 sp|A0JNB1|ZN227_BOVIN
TRINITY_DN86046_c0_g1_i1 sp|P13277|CYSP1_HOMAM
TRINITY_DN86005_c1_g1_i4 sp|Q5F3D1|ZCHC8_CHICK
TRINITY_DN86011_c3_g1_i6 sp|Q8BZ20|PAR12_MOUSE
TRINITY_DN86091_c1_g1_i5 sp|P14381|YTX2_XENLA
TRINITY_DN86009_c3_g1_i2 sp|Q3SYV4|CAP1_BOVIN
TRINITY_DN86081_c0_g1_i5 sp|Q6ZQQ6|WDR87_HUMAN
TRINITY_DN86040_c2_g1_i10 sp|O02703|BAX_BOVIN
TRINITY_DN86007_c2_g1_i1 sp|Q9BYK8|HELZ2_HUMAN
TRINITY_DN86006_c2_g1_i4 sp|P12270|TPR_HUMAN
TRINITY_DN86013_c2_g1_i3 sp|A7Y2X0|SC6A5_XENLA
TRINITY_DN86093_c2_g1_i3 sp|Q5I0K7|ALG13_RAT
TRINITY_DN86093_c2_g2_i1 sp|Q2KIJ2|MET18_BOVIN
TRINITY_DN86019_c2_g2_i1 sp|Q9TU53|CUBN_CANLF
TRINITY_DN86020_c1_g3_i1 sp|Q91W78|USB1_MOUSE
TRINITY_DN86014_c0_g1_i3 sp|Q86X10|RLGPB_HUMAN
TRINITY_DN86026_c1_g1_i5 sp|Q9JLJ0|LITAF_MOUSE
TRINITY_DN86025_c2_g4_i1 sp|A1ADJ6|NEUO_ECOK1
TRINITY_DN86012_c1_g2_i5 sp|Q91W89|MA2C1_MOUSE
TRINITY_DN86024_c2_g2_i2 sp|Q8TC21|ZN596_HUMAN
TRINITY_DN86027_c2_g2_i1 sp|Q5TYP4|CA112_DANRE
TRINITY_DN86027_c2_g3_i1 sp|Q5XI94|CA112_RAT
TRINITY_DN86017_c4_g1_i6 sp|P98160|PGBM_HUMAN
TRINITY_DN86031_c1_g1_i6 sp|P20241|NRG_DROME
TRINITY_DN86018_c1_g1_i3 sp|Q54P70|Y4757_DICDI
TRINITY_DN86016_c1_g1_i1 sp|Q8BYK8|ZC3H6_MOUSE
TRINITY_DN86021_c2_g1_i12 sp|Q6YHK3|CD109_HUMAN
TRINITY_DN86015_c2_g1_i1 sp|O15118|NPC1_HUMAN
TRINITY_DN86038_c2_g4_i1 sp|Q9BX74|TM2D1_HUMAN
TRINITY_DN86030_c0_g1_i5 sp|P35555|FBN1_HUMAN
TRINITY_DN86041_c1_g2_i3 sp|Q9BRZ2|TRI56_HUMAN
TRINITY_DN86041_c1_g1_i9 sp|Q9BRZ2|TRI56_HUMAN
TRINITY_DN86045_c1_g1_i1 sp|Q8BQM4|HEAT3_MOUSE
TRINITY_DN86045_c1_g2_i3 sp|Q7Z4Q2|HEAT3_HUMAN
TRINITY_DN86097_c2_g2_i2 sp|Q0VA20|SLAIL_XENTR
TRINITY_DN86023_c0_g1_i1 sp|P50399|GDIB_RAT
TRINITY_DN86052_c1_g1_i1 sp|Q1LXZ7|IQCH_DANRE
TRINITY_DN86052_c1_g2_i1 sp|Q9D2K4|IQCH_MOUSE
TRINITY_DN86033_c1_g1_i3 sp|Q8BZZ3|WWP1_MOUSE
TRINITY_DN86057_c6_g2_i3 sp|Q8IUR5|TMTC1_HUMAN
TRINITY_DN86036_c2_g1_i5 sp|Q6P7W5|SEN2_MOUSE
TRINITY_DN86058_c3_g1_i5 sp|Q32NR9|FRITZ_XENLA
TRINITY_DN86044_c2_g1_i1 sp|Q9HC56|PCDH9_HUMAN
TRINITY_DN86055_c1_g1_i12 sp|Q9DEX7|FADS2_DANRE
TRINITY_DN86067_c1_g1_i4 sp|Q5RC69|DCTD_PONAB
TRINITY_DN86050_c1_g1_i1 sp|O14874|BCKD_HUMAN
TRINITY_DN86061_c0_g1_i2 sp|O15440|MRP5_HUMAN
TRINITY_DN86051_c2_g1_i3 sp|Q9DCD2|SYF1_MOUSE
TRINITY_DN86073_c1_g1_i7 sp|P28021|CSK2B_XENLA
TRINITY_DN86076_c2_g1_i2 sp|Q91VN6|DDX41_MOUSE
TRINITY_DN86076_c2_g2_i1 sp|Q9V3C0|DDX41_DROME
TRINITY_DN86069_c2_g1_i2 sp|Q8BH75|RNF41_MOUSE
TRINITY_DN86070_c3_g1_i5 sp|B4PSS5|PDE6_DROYA
TRINITY_DN86086_c1_g2_i1 sp|Q91YE6|IPO9_MOUSE
TRINITY_DN86086_c1_g1_i2 sp|Q96P70|IPO9_HUMAN
TRINITY_DN86083_c2_g1_i1 sp|Q6NYU2|HELZ_DANRE
TRINITY_DN86064_c0_g2_i1 sp|Q7LHG5|YI31B_YEAST
TRINITY_DN86066_c2_g1_i1 sp|Q8TBZ3|WDR20_HUMAN
TRINITY_DN86088_c1_g3_i2 sp|Q9HBG4|VPP4_HUMAN
TRINITY_DN86085_c1_g1_i1 sp|A5PKG6|UBE4A_BOVIN
TRINITY_DN86080_c2_g1_i1 sp|P58365|CAD23_RAT
TRINITY_DN86089_c3_g1_i1 sp|Q9H1I8|ASCC2_HUMAN
TRINITY_DN86089_c3_g2_i4 sp|Q9H1I8|ASCC2_HUMAN
TRINITY_DN86092_c2_g1_i3 sp|P42325|NCAH_DROME
TRINITY_DN86092_c3_g1_i7 sp|Q9JJ09|NPT2B_RAT
TRINITY_DN86078_c0_g1_i4 sp|Q9BPX3|CND3_HUMAN
TRINITY_DN86094_c2_g1_i1 sp|Q5ZJH7|CNPD1_CHICK
TRINITY_DN86075_c0_g1_i1 sp|Q10471|GALT2_HUMAN
TRINITY_DN86100_c4_g6_i1 sp|Q53H47|SETMR_HUMAN
TRINITY_DN86079_c2_g1_i4 sp|Q61555|FBN2_MOUSE
TRINITY_DN86098_c3_g1_i6 sp|P48612|PELO_DROME
TRINITY_DN86099_c0_g1_i7 sp|Q6DDK3|DOXA1_XENLA
TRINITY_DN86142_c1_g1_i1 sp|Q9BUK6|MSTO1_HUMAN
TRINITY_DN86101_c3_g1_i3 sp|Q9CZU3|MTREX_MOUSE
TRINITY_DN86101_c3_g2_i1 sp|P42285|MTREX_HUMAN
TRINITY_DN86141_c2_g1_i1 sp|Q96RQ3|MCCA_HUMAN
TRINITY_DN86141_c2_g2_i1 sp|Q96RQ3|MCCA_HUMAN
TRINITY_DN86108_c1_g2_i1 sp|P16157|ANK1_HUMAN
TRINITY_DN86113_c2_g1_i3 sp|Q9Z0E8|S22A5_MOUSE
TRINITY_DN86111_c1_g2_i4 sp|Q28C33|TBC30_XENTR
TRINITY_DN86103_c1_g1_i4 sp|A8K0R7|ZN839_HUMAN
TRINITY_DN86116_c4_g2_i2 sp|D3ZTQ1|SFSWA_RAT
TRINITY_DN86116_c4_g1_i6 sp|Q12872|SFSWA_HUMAN
TRINITY_DN86110_c1_g2_i1 sp|Q8IYG6|LRC56_HUMAN
TRINITY_DN86124_c3_g1_i1 sp|Q66GS9|CP135_HUMAN
TRINITY_DN86124_c3_g2_i1 sp|Q6NY15|TSG10_MOUSE
TRINITY_DN86121_c3_g1_i2 sp|Q499D0|FOXN3_MOUSE
TRINITY_DN86127_c0_g1_i4 sp|P23606|TGM1_RAT
TRINITY_DN86127_c1_g1_i4 sp|Q05187|TGMH_TACTR
TRINITY_DN86130_c1_g5_i1 sp|A6QLU5|ZN184_BOVIN
TRINITY_DN86130_c1_g3_i2 sp|Q9NW07|ZN358_HUMAN
TRINITY_DN86130_c1_g1_i3 sp|P16374|ZFP60_MOUSE
TRINITY_DN86125_c1_g1_i2 sp|P17133|RU17_DROME
TRINITY_DN86120_c2_g1_i2 sp|Q7ZXX2|KIF19_XENLA
TRINITY_DN86114_c5_g1_i1 sp|A6H584|CO6A5_MOUSE
TRINITY_DN86114_c5_g2_i1 sp|Q9VW71|FAT2_DROME
TRINITY_DN86126_c1_g1_i1 sp|Q6P2X9|MOT12_XENTR
TRINITY_DN86131_c2_g2_i3 sp|O35153|BET1L_MOUSE
TRINITY_DN86118_c3_g1_i4 sp|H9JD76|TDRKH_BOMMO
TRINITY_DN86132_c2_g1_i4 sp|H2A0M0|NRP_PINMG
TRINITY_DN86132_c2_g2_i2 sp|H2A0N4|PIF_PINMG
TRINITY_DN86133_c0_g2_i1 sp|P21328|RTJK_DROME
TRINITY_DN86133_c1_g1_i5 sp|Q92542|NICA_HUMAN
TRINITY_DN86138_c1_g1_i4 sp|P35802|GPM6A_MOUSE
TRINITY_DN86140_c2_g2_i1 sp|Q9Y6R7|FCGBP_HUMAN
TRINITY_DN86105_c3_g1_i2 sp|Q5RB30|Z585B_PONAB
TRINITY_DN86123_c2_g1_i2 sp|Q9H330|TM245_HUMAN
TRINITY_DN86135_c3_g1_i4 sp|Q91Y63|S13A3_MOUSE
TRINITY_DN86137_c0_g1_i1 sp|Q05707|COEA1_HUMAN
TRINITY_DN86129_c1_g1_i10 sp|Q9C098|DCLK3_HUMAN
TRINITY_DN86128_c2_g1_i2 sp|Q86YW9|MD12L_HUMAN
TRINITY_DN86186_c2_g1_i2 sp|Q63187|ELOA1_RAT
TRINITY_DN86153_c4_g1_i1 sp|Q5U1Y9|F216A_RAT
TRINITY_DN86158_c1_g1_i1 sp|Q8TAB3|PCD19_HUMAN
TRINITY_DN86158_c1_g2_i2 sp|Q5DRA2|PCDGM_PANTR
TRINITY_DN86146_c2_g1_i1 sp|P27641|XRCC5_MOUSE
TRINITY_DN86149_c1_g2_i2 sp|Q9S777|4CL3_ARATH
TRINITY_DN86169_c2_g3_i3 sp|Q91828|AR11_XENLA
TRINITY_DN86170_c1_g5_i2 sp|Q00537|CDK17_HUMAN
TRINITY_DN86163_c2_g2_i1 sp|B4PY69|PGAM5_DROYA
TRINITY_DN86163_c2_g1_i3 sp|Q502L2|PGAM5_DANRE
TRINITY_DN86160_c2_g1_i3 sp|Q9W602|SSRP1_XENLA
TRINITY_DN86159_c1_g1_i7 sp|Q3UIR3|DTX3L_MOUSE
TRINITY_DN86162_c2_g1_i4 sp|P55266|DSRAD_RAT
TRINITY_DN86145_c1_g1_i1 sp|Q96NW4|ANR27_HUMAN
TRINITY_DN86177_c2_g2_i2 sp|Q8BLS7|SWAHA_MOUSE
TRINITY_DN86154_c1_g1_i2 sp|Q6NYH1|IF122_DANRE
TRINITY_DN86182_c0_g1_i16 sp|P86952|TYRO_PINMA
TRINITY_DN86182_c1_g1_i1 sp|H2A0L0|TYRO1_PINMG
TRINITY_DN86182_c1_g3_i2 sp|H2A0L0|TYRO1_PINMG
TRINITY_DN86182_c1_g2_i5 sp|H2A0L1|TYRO2_PINMG
TRINITY_DN86185_c2_g1_i3 sp|Q9GZR7|DDX24_HUMAN
TRINITY_DN86185_c2_g2_i2 sp|Q9GZR7|DDX24_HUMAN
TRINITY_DN86185_c2_g3_i1 sp|Q9GZR7|DDX24_HUMAN
TRINITY_DN86184_c2_g1_i3 sp|P51574|S15A1_RAT
TRINITY_DN86184_c2_g2_i3 sp|B0S6T2|S15A2_DANRE
TRINITY_DN86166_c1_g1_i1 sp|Q9HCF6|TRPM3_HUMAN
TRINITY_DN86156_c2_g1_i2 sp|A0JM56|LRRC9_XENTR
TRINITY_DN86189_c1_g1_i1 sp|Q5ZL16|WIPI3_CHICK
TRINITY_DN86191_c3_g1_i1 sp|Q8JGR4|RL24_DANRE
TRINITY_DN86187_c2_g1_i1 sp|P52183|ANNU_SCHAM
TRINITY_DN86187_c2_g2_i1 sp|P23606|TGM1_RAT
TRINITY_DN86167_c2_g1_i4 sp|Q9Z136|TSC1_RAT
TRINITY_DN86172_c3_g1_i4 sp|Q16602|CALRL_HUMAN
TRINITY_DN86171_c1_g2_i4 sp|Q9H8G2|CAAP1_HUMAN
TRINITY_DN86181_c1_g1_i5 sp|Q6ZMV9|KIF6_HUMAN
TRINITY_DN86193_c3_g1_i1 sp|B0JZG0|S23A2_XENTR
TRINITY_DN86193_c3_g2_i4 sp|Q9WTW8|S23A2_RAT
TRINITY_DN86179_c3_g1_i1 sp|A8WHP3|SC5A9_DANRE
TRINITY_DN86200_c2_g2_i3 sp|O94826|TOM70_HUMAN
TRINITY_DN86194_c1_g2_i2 sp|Q17QR6|MOT13_BOVIN
TRINITY_DN86194_c1_g1_i3 sp|Q8K1P8|MOT8_RAT
TRINITY_DN86178_c2_g1_i1 sp|O15084|ANR28_HUMAN
TRINITY_DN86239_c1_g2_i3 sp|Q5VU97|CAHD1_HUMAN
TRINITY_DN86201_c0_g1_i1 sp|B4HQ29|FBSP1_DROSE
TRINITY_DN86237_c2_g1_i1 sp|Q21502|MEP1_CAEEL
TRINITY_DN86204_c2_g1_i3 sp|A0A1D5P556|DAAM2_CHICK
TRINITY_DN86208_c1_g1_i4 sp|P53355|DAPK1_HUMAN
TRINITY_DN86215_c1_g3_i2 sp|P52824|DGKQ_HUMAN
TRINITY_DN86214_c2_g1_i3 sp|Q7SZE5|SC23A_DANRE
TRINITY_DN86214_c2_g2_i2 sp|Q7SZE5|SC23A_DANRE
TRINITY_DN86211_c2_g1_i4 sp|P55011|S12A2_HUMAN
TRINITY_DN86210_c1_g1_i1 sp|P14735|IDE_HUMAN
TRINITY_DN86250_c2_g1_i5 sp|Q9W636|REQUB_XENLA
TRINITY_DN86213_c2_g1_i7 sp|Q9MZD1|S17A5_SHEEP
TRINITY_DN86218_c0_g1_i5 sp|O43301|HS12A_HUMAN
TRINITY_DN86229_c3_g2_i2 sp|P09960|LKHA4_HUMAN
TRINITY_DN86222_c1_g1_i2 sp|Q9JLV2|TP4AP_MOUSE
TRINITY_DN86221_c1_g1_i5 sp|Q8K268|ABCF3_MOUSE
TRINITY_DN86212_c1_g1_i1 sp|P50748|KNTC1_HUMAN
TRINITY_DN86216_c2_g2_i3 sp|O35305|TNR11_MOUSE
TRINITY_DN86228_c3_g2_i1 sp|Q5SPP5|EFR3B_DANRE
TRINITY_DN86228_c3_g1_i3 sp|Q14156|EFR3A_HUMAN
TRINITY_DN86238_c6_g1_i6 sp|O45782|ARD17_CAEEL
TRINITY_DN86206_c1_g2_i5 sp|B2RYG6|OTUB1_RAT
TRINITY_DN86247_c2_g2_i3 sp|Q26473|SEM1A_SCHAM
TRINITY_DN86247_c2_g3_i1 sp|Q26473|SEM1A_SCHAM
TRINITY_DN86243_c2_g1_i1 sp|Q53TQ3|IN80D_HUMAN
TRINITY_DN86233_c4_g2_i2 sp|Q962Q6|RS24_SPOFR
TRINITY_DN86225_c1_g2_i4 sp|Q3UDE2|TTL12_MOUSE
TRINITY_DN86295_c3_g1_i8 sp|Q5F362|CC50A_CHICK
TRINITY_DN86290_c3_g7_i1 sp|Q5IS61|OPCM_PANTR
TRINITY_DN86290_c3_g5_i4 sp|Q5IS61|OPCM_PANTR
TRINITY_DN86234_c2_g1_i4 sp|Q6NRC9|LRCC1_XENLA
TRINITY_DN86253_c3_g2_i3 sp|Q8N695|SC5A8_HUMAN
TRINITY_DN86245_c2_g1_i2 sp|Q2NKQ1|SGSM1_HUMAN
TRINITY_DN86259_c1_g1_i2 sp|P14381|YTX2_XENLA
TRINITY_DN86235_c2_g1_i3 sp|Q6DEY8|TBC31_XENTR
TRINITY_DN86251_c0_g1_i4 sp|Q4R4K5|IFT22_MACFA
TRINITY_DN86254_c3_g1_i7 sp|Q4R7Y5|DNJB6_MACFA
TRINITY_DN86255_c2_g1_i1 sp|B8JK39|ITA9_MOUSE
TRINITY_DN86269_c0_g1_i3 sp|Q4LDE5|SVEP1_HUMAN
TRINITY_DN86269_c0_g2_i1 sp|Q03591|FHR1_HUMAN
TRINITY_DN86269_c1_g1_i6 sp|P19070|CR2_MOUSE
TRINITY_DN86266_c2_g1_i1 sp|P04323|POL3_DROME
TRINITY_DN86266_c2_g2_i2 sp|Q09389|YR43_CAEEL
TRINITY_DN86266_c2_g4_i1 sp|P04323|POL3_DROME
TRINITY_DN86261_c2_g1_i1 sp|Q58DL5|BCAR3_BOVIN
TRINITY_DN86264_c3_g1_i13 sp|Q1JQC1|MFSD1_BOVIN
TRINITY_DN86248_c2_g1_i3 sp|P31422|GRM3_RAT
TRINITY_DN86273_c4_g1_i1 sp|Q8WUM0|NU133_HUMAN
TRINITY_DN86273_c4_g2_i1 sp|Q8R0G9|NU133_MOUSE
TRINITY_DN86281_c2_g1_i8 sp|P41436|IAP_GVCPM
TRINITY_DN86280_c2_g2_i1 sp|Q6Q899|DDX58_MOUSE
TRINITY_DN86280_c2_g1_i3 sp|Q6Q899|DDX58_MOUSE
TRINITY_DN86283_c1_g2_i1 sp|Q9Y6G5|COMDA_HUMAN
TRINITY_DN86267_c2_g1_i5 sp|Q5VXU1|NKAI2_HUMAN
TRINITY_DN86242_c1_g1_i13 sp|Q13936|CAC1C_HUMAN
TRINITY_DN86278_c2_g1_i1 sp|Q5H8C1|FREM1_HUMAN
TRINITY_DN86289_c2_g1_i4 sp|Q8VCW8|ACSF2_MOUSE
TRINITY_DN86252_c2_g1_i15 sp|Q7Z4S6|KI21A_HUMAN
TRINITY_DN86287_c4_g1_i6 sp|P00541|FPS_AVISP
TRINITY_DN86288_c2_g1_i1 sp|Q9UKV8|AGO2_HUMAN
TRINITY_DN86276_c0_g1_i1 sp|P0CT39|TF26_SCHPO
TRINITY_DN86292_c0_g1_i1 sp|Q5VV17|OTUD1_HUMAN
TRINITY_DN86292_c2_g1_i1 sp|Q7ZUV7|EMSY_DANRE
TRINITY_DN86293_c3_g1_i5 sp|Q6UVM3|KCNT2_HUMAN
TRINITY_DN86284_c2_g1_i5 sp|Q9VCA2|ORCT_DROME
TRINITY_DN86277_c0_g1_i1 sp|P41252|SYIC_HUMAN
TRINITY_DN86300_c4_g1_i1 sp|Q8BMJ2|SYLC_MOUSE
TRINITY_DN86300_c4_g2_i2 sp|Q5R614|SYLC_PONAB
TRINITY_DN86294_c1_g1_i1 sp|Q923M0|PP16A_MOUSE
TRINITY_DN86299_c3_g1_i3 sp|Q9VPQ6|USH_DROME
TRINITY_DN86297_c2_g1_i11 sp|Q13905|RPGF1_HUMAN
TRINITY_DN86336_c4_g1_i2 sp|A2VD00|EIF3A_XENLA
TRINITY_DN86346_c2_g1_i1 sp|Q5SND2|CML30_ORYSJ
TRINITY_DN86346_c2_g2_i1 sp|P48484|PP14_ARATH
TRINITY_DN86325_c1_g1_i3 sp|Q8NBS3|S4A11_HUMAN
TRINITY_DN86307_c2_g2_i1 sp|O75382|TRIM3_HUMAN
TRINITY_DN86350_c1_g2_i1 sp|P35220|CTNA_DROME
TRINITY_DN86350_c1_g3_i3 sp|B7ZC77|CTNA2_DANRE
TRINITY_DN86335_c2_g1_i1 sp|Q80WQ8|M18BP_MOUSE
TRINITY_DN86312_c2_g2_i2 sp|Q9JK41|COPT1_RAT
TRINITY_DN86341_c2_g3_i2 sp|Q62824|EXOC4_RAT
TRINITY_DN86301_c2_g1_i2 sp|Q5U4F6|WDR34_MOUSE
TRINITY_DN86302_c2_g1_i20 sp|Q2NKT1|PROF4_BOVIN
TRINITY_DN86310_c1_g2_i1 sp|Q5R8R1|ARP3_PONAB
TRINITY_DN86380_c0_g1_i1 sp|Q9VEN1|FLNA_DROME
TRINITY_DN86397_c2_g1_i6 sp|Q9SR52|UREA_ARATH
TRINITY_DN86319_c4_g1_i7 sp|P30684|GNAS_LYMST
TRINITY_DN86319_c5_g1_i2 sp|Q8C1R0|TSSK5_MOUSE
TRINITY_DN86328_c1_g2_i3 sp|Q24439|ATPO_DROME
TRINITY_DN86328_c1_g3_i3 sp|P21328|RTJK_DROME
TRINITY_DN86317_c2_g1_i2 sp|Q8MJU1|CASP3_FELCA
TRINITY_DN86321_c3_g1_i1 sp|Q8R151|ZNFX1_MOUSE
TRINITY_DN86309_c4_g2_i1 sp|Q99570|PI3R4_HUMAN
TRINITY_DN86347_c1_g2_i1 sp|Q07496|EPHA4_CHICK
TRINITY_DN86314_c3_g2_i3 sp|Q7T3Q2|CRIM1_DANRE
TRINITY_DN86320_c2_g2_i4 sp|Q13367|AP3B2_HUMAN
TRINITY_DN86391_c2_g1_i5 sp|A3KQ55|MEPCE_DANRE
TRINITY_DN86330_c2_g2_i6 sp|O89017|LGMN_MOUSE
TRINITY_DN86327_c3_g2_i1 sp|Q96DX4|RSPRY_HUMAN
TRINITY_DN86327_c3_g1_i7 sp|A4QMS7|CE049_HUMAN
TRINITY_DN86322_c2_g2_i3 sp|Q9VZI3|UN112_DROME
TRINITY_DN86333_c3_g2_i2 sp|Q9W0A0|DRPR_DROME
TRINITY_DN86342_c4_g2_i1 sp|P26640|SYVC_HUMAN
TRINITY_DN86342_c4_g1_i2 sp|P26640|SYVC_HUMAN
TRINITY_DN86342_c4_g3_i2 sp|Q9Z1Q9|SYVC_MOUSE
TRINITY_DN86337_c5_g2_i1 sp|Q8C5L6|INP5K_MOUSE
TRINITY_DN86338_c4_g2_i1 sp|Q14790|CASP8_HUMAN
TRINITY_DN86329_c2_g1_i3 sp|Q06546|GABPA_HUMAN
TRINITY_DN86386_c1_g1_i1 sp|Q8C8R3|ANK2_MOUSE
TRINITY_DN86364_c2_g1_i13 sp|O42329|GNRR2_CLAGA
TRINITY_DN86355_c3_g1_i1 sp|Q9JIF7|COPB_MOUSE
TRINITY_DN86355_c3_g2_i2 sp|Q5ZIA5|COPB_CHICK
TRINITY_DN86345_c1_g1_i5 sp|A5WUT8|EPG5_DANRE
TRINITY_DN86331_c3_g1_i4 sp|Q60949|TBCD1_MOUSE
TRINITY_DN86326_c2_g1_i7 sp|O01393|UNC9_CAEEL
TRINITY_DN86353_c2_g1_i5 sp|Q920Q2|REV1_MOUSE
TRINITY_DN86349_c1_g1_i4 sp|Q9JLB0|MPP6_MOUSE
TRINITY_DN86351_c1_g2_i4 sp|Q6DFC0|S41A2_XENLA
TRINITY_DN86360_c0_g1_i1 sp|Q9ES88|S13A2_MOUSE
TRINITY_DN86360_c0_g2_i1 sp|Q9ES88|S13A2_MOUSE
TRINITY_DN86352_c1_g3_i2 sp|Q6AX60|PTHB1_XENLA
TRINITY_DN86334_c6_g1_i5 sp|Q09662|YS51_CAEEL
TRINITY_DN86362_c2_g3_i2 sp|Q9GKY0|FSTL1_MACFA
TRINITY_DN86357_c1_g1_i1 sp|Q80XM9|PQLC1_MOUSE
TRINITY_DN86348_c5_g1_i3 sp|Q6ZT07|TBCD9_HUMAN
TRINITY_DN86365_c4_g2_i1 sp|O60524|NEMF_HUMAN
TRINITY_DN86366_c0_g1_i2 sp|Q80ZX8|SPAG1_MOUSE
TRINITY_DN86366_c1_g1_i1 sp|F1RBN2|SPAG1_DANRE
TRINITY_DN86374_c6_g1_i3 sp|Q6IMM1|DJC27_CHICK
TRINITY_DN86358_c5_g1_i5 sp|Q00560|IL6RB_MOUSE
TRINITY_DN86359_c2_g1_i1 sp|Q99PL5|RRBP1_MOUSE
TRINITY_DN86385_c2_g3_i1 sp|P56470|LEG4_HUMAN
TRINITY_DN86382_c2_g2_i2 sp|Q5BKI6|ANKR1_XENTR
TRINITY_DN86378_c5_g1_i8 sp|D3Z4R1|HFM1_MOUSE
TRINITY_DN86340_c1_g2_i4 sp|Q6DG03|DMTF1_DANRE
TRINITY_DN86372_c3_g1_i5 sp|P0CB05|CEP63_CHICK
TRINITY_DN86387_c4_g3_i3 sp|Q8MPM1|GELS2_LUMTE
TRINITY_DN86373_c3_g1_i4 sp|Q96AY4|TTC28_HUMAN
TRINITY_DN86369_c3_g1_i3 sp|Q6DFF9|MABP1_XENLA
TRINITY_DN86393_c1_g1_i1 sp|Q5RE52|APC5_PONAB
TRINITY_DN86393_c1_g2_i2 sp|Q5ZKK3|APC5_CHICK
TRINITY_DN86395_c3_g3_i4 sp|A7Y2X0|SC6A5_XENLA
TRINITY_DN86395_c3_g2_i17 sp|O18875|SC6A8_BOVIN
TRINITY_DN86390_c4_g1_i1 sp|P00389|NCPR_RABIT
TRINITY_DN86390_c4_g2_i2 sp|P16435|NCPR_HUMAN
TRINITY_DN86394_c1_g2_i1 sp|Q80WC9|ACSF4_MOUSE
TRINITY_DN86394_c1_g1_i3 sp|Q80WC9|ACSF4_MOUSE
TRINITY_DN86394_c1_g3_i1 sp|Q4L235|ACSF4_HUMAN
TRINITY_DN86379_c4_g1_i4 sp|P52209|6PGD_HUMAN
TRINITY_DN86396_c1_g1_i3 sp|P42262|GRIA2_HUMAN
TRINITY_DN86399_c3_g1_i1 sp|Q5ZL12|PPR21_CHICK
TRINITY_DN86389_c3_g1_i2 sp|Q6ZMP0|THSD4_HUMAN
TRINITY_DN86398_c3_g2_i3 sp|J3SBP3|PDE2_CROAD
TRINITY_DN86488_c3_g1_i4 sp|Q9NRL2|BAZ1A_HUMAN
TRINITY_DN86497_c3_g1_i6 sp|Q3L1C9|STAUH_APLCA
TRINITY_DN86433_c3_g3_i3 sp|Q86W92|LIPB1_HUMAN
TRINITY_DN86481_c3_g1_i7 sp|P20825|POL2_DROME
TRINITY_DN86406_c2_g1_i2 sp|Q3B7U2|TAF1A_RAT
TRINITY_DN86500_c1_g2_i1 sp|P09487|PPBT_BOVIN
TRINITY_DN86500_c1_g1_i2 sp|P15693|PPBI1_RAT
TRINITY_DN86404_c1_g1_i6 sp|Q1JPX3|SYFA_DANRE
TRINITY_DN86435_c2_g2_i5 sp|Q9WVM6|TLL2_MOUSE
TRINITY_DN86415_c3_g3_i2 sp|Q27597|NCPR_DROME
TRINITY_DN86415_c3_g1_i4 sp|Q54B10|REDA_DICDI
TRINITY_DN86419_c2_g1_i1 sp|P31689|DNJA1_HUMAN
TRINITY_DN86430_c1_g1_i2 sp|P29318|EPHA3_CHICK
TRINITY_DN86454_c3_g1_i4 sp|Q5PR68|CE112_MOUSE
TRINITY_DN86454_c3_g2_i4 sp|Q8N8E3|CE112_HUMAN
TRINITY_DN86407_c3_g1_i3 sp|Q08211|DHX9_HUMAN
TRINITY_DN86413_c2_g1_i3 sp|Q96EN8|MOCOS_HUMAN
TRINITY_DN86429_c2_g2_i4 sp|H2A0N2|NCP_PINMG
TRINITY_DN86425_c1_g1_i1 sp|H2A0L1|TYRO2_PINMG
TRINITY_DN86432_c1_g1_i1 sp|O95905|ECD_HUMAN
TRINITY_DN86427_c2_g2_i2 sp|P54145|AMT1_CAEEL
TRINITY_DN86412_c3_g2_i1 sp|Q8IYE1|CCD13_HUMAN
TRINITY_DN86412_c3_g1_i5 sp|Q8IYE1|CCD13_HUMAN
TRINITY_DN86421_c1_g1_i3 sp|Q80ZE5|PAQR8_MOUSE
TRINITY_DN86421_c2_g2_i1 sp|Q8VC51|WAP53_MOUSE
TRINITY_DN86423_c5_g1_i1 sp|Q5ZM33|HP1B3_CHICK
TRINITY_DN86411_c4_g1_i2 sp|Q6P1M3|L2GL2_HUMAN
TRINITY_DN86418_c3_g1_i4 sp|Q9R1X5|MRP5_MOUSE
TRINITY_DN86431_c2_g1_i4 sp|Q8WXD5|GEMI6_HUMAN
TRINITY_DN86426_c3_g1_i6 sp|Q4R6F0|LRRD1_MACFA
TRINITY_DN86440_c2_g5_i1 sp|Q5ZJK8|TCPH_CHICK
TRINITY_DN86424_c3_g1_i4 sp|P86860|PSM_MYTCA
TRINITY_DN86436_c2_g2_i1 sp|Q94738|HSP97_MESFR
TRINITY_DN86445_c3_g1_i1 sp|P69003|ACT1_HELTB
TRINITY_DN86439_c2_g1_i1 sp|Q9HC77|CENPJ_HUMAN
TRINITY_DN86449_c2_g2_i3 sp|Q8R197|SAST_MOUSE
TRINITY_DN86446_c5_g1_i2 sp|Q5RGJ8|GNPTA_DANRE
TRINITY_DN86457_c1_g2_i1 sp|Q9WTK3|GPAA1_MOUSE
